Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu139,0.322016741711899,0,0.02788891092203,0,0.231608909177653,0.00197995328462445,0,0,0.0564790872897693,0,0.157908226431948,0,0,0.027416858182445,0,0,0,0,0.130415096262084,0,0.0442862167375475,0,0.962,-0.0434523750511585,1.14392581301053
wu140,0.16170429811102,0,0.0257268836444195,0,0.128076840044411,0.204478823258959,0,0.0904879086838084,0,0,0.179722923895868,0,0.0387631023617248,0.0206341748329162,0.0378818228682379,0.100713504901907,0,0,0,0.00203208463468981,0.0097776327620381,0,0.324,0.0988661632035307,1.07421440548028
wu141,0.164209723266763,0,0.0274776115947213,6.7323869505028e-05,0.10304756597915,0.151901039314655,0.125887373080081,0,0,0,0.0396650206202714,0,0.0394871939888589,0.0167223350063919,0,0.121524900248478,0,0.0494565826016546,0.160553330429471,0,0,0,0.998,-0.0932565344542061,1.11525371007495
wu142,0.290481017227174,0,0,0.11896157554737,0,0,0,0,0.0707272548032166,0,0.0115102282135073,0,0.0139762572017265,0.167786949379684,0,0.0928735287088448,0,0,0.110742051237639,0,0.122941137680839,0,0.792,0.00459263606417719,1.1076910665862
wu143,0.159240805207298,0,0.0189720903781534,0,0.190348563226048,0.145441846592877,0,0,0,0,0.15685993297326,0,0.0693946568087689,0.0479865801533305,0,0.0997518774468537,0.0467505694190814,0.0487151818708332,0,0.0165378959234947,0,0,0.128,0.142567114468185,1.03968263474756
wu144,0.0912639370392412,0,0.000109986590667696,0.162188736316965,0,0.123785175908904,0.0306613383206341,0,0.00895842279715214,0,0.217984371806239,0,0.10711213132971,0.0584121578686082,0,0,0,0.110025547682422,0.0894981943394556,0,0,0,0.998,-0.0900719373604135,1.1575400261439
wu145,0.065319638819494,0,0,0,0.0543553550863112,0.0579463498585964,0.119259872245439,0.00750064169930553,0,0.0356076532336091,0.0111360261826521,0,0,0.35654884324933,0,0.213253068084695,0,0.045321930649874,0.0183173916291419,0.0154332292615513,0,0,0,0.433458653275918,0.917277436398255
wu146,0.180142754558669,0,0.00814698719994431,0,0,0.146435088674076,0,0.0852461942841068,0.0785314014603953,0,0.065946765280372,0,0.0315809784849246,0.0543001050165756,0,0.090111495812486,0,0.0141746357550419,0.245383593473409,0,0,0,0.998,-0.104875232824664,1.1486002297092
wu147,0.288557241232768,0,0,0.0703802701938676,0.00291452019019017,0.124442466887153,0.225902401066548,0,0,0,0.0465015058879707,0,0.0566349425213585,0.0144687875691069,0,0.0663061065914586,0,0.0124730361684865,0.0914187216910913,0,0,0,0.916,-0.0252016903909846,1.10074489224839
wu148,0.0661385766002245,0,0,0,0,0.231282689933581,0.0735958914033947,0.0186709771402715,0.0386155356574515,0,0.142089780686649,0,0.050298578585521,0.0646247216326524,0,0.210511216604196,0,0.0640939698284233,0.0400780619276354,0,0,0,0.75,0.0148851171605648,1.08922053902562
